Folder,A_precision,A_recall,A_f1-score,A_Jaccard Index,A_accuracy,A_FDR,B_precision,B_recall,B_f1-score,B_Jaccard Index,B_accuracy,B_FDR,Detector
20171005,0.8009166666666667,0.8541666666666666,0.7765833333333334,0.7384166666666667,0.7384166666666667,0.11575,0.23925,0.0801666666666666,0.1150833333333333,0.0681666666666666,0.0681666666666666,0.7607500000000001,0
20170420,0.956625,0.954,0.9503125,0.923625,0.923625,0.043375,0.5025625,0.4758125,0.4838125,0.36,0.36,0.4974375,0
20171107,0.9166666666666666,0.8958333333333334,0.90475,0.8958333333333334,0.8958333333333334,0.0,0.3301666666666666,0.6445833333333334,0.4324166666666666,0.2934166666666666,0.2934166666666666,0.6698333333333334,0
20171128,0.8823529411764706,0.849,0.8622941176470589,0.849,0.849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20170606,0.8610000000000001,1.0,0.9211666666666666,0.8610000000000001,0.8610000000000001,0.139,0.5758333333333333,0.5261666666666666,0.5339999999999999,0.4163333333333333,0.4163333333333333,0.4241666666666666,0
20170926,0.9375,0.9296875,0.9333125,0.9296875,0.9296875,0.0,0.526,0.3154375,0.3901874999999999,0.28975,0.28975,0.474,0
20171124,0.9666666666666668,1.0,0.9815,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0
20170224,1.0,1.0,1.0,1.0,1.0,0.0,0.912,0.3915,0.42,0.3385,0.3385,0.088,0
20171005,0.9536666666666668,0.9791666666666666,0.956,0.9328333333333334,0.9328333333333334,0.0463333333333333,0.2758333333333334,0.2574166666666667,0.2304166666666667,0.15075,0.15075,0.6408333333333334,1
20170420,0.9375,0.8416874999999999,0.8636874999999999,0.8416874999999999,0.8416874999999999,0.0,0.347125,0.3733125,0.35775,0.2565625,0.2565625,0.6528750000000001,1
20171107,0.7821666666666666,1.0,0.82,0.7821666666666666,0.7821666666666666,0.2178333333333333,0.2590833333333334,0.7849166666666667,0.3650833333333332,0.2333333333333333,0.2333333333333333,0.7409166666666667,1
20171128,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20170505,0.7963076923076922,0.7816923076923078,0.7369230769230768,0.6271538461538462,0.6271538461538462,0.2036923076923076,0.731,0.8388461538461538,0.767,0.6714615384615384,0.6714615384615384,0.192076923076923,1
20170606,0.8823333333333333,1.0,0.9091666666666668,0.8823333333333333,0.8823333333333333,0.1176666666666666,0.4383333333333333,0.7343333333333334,0.5248333333333334,0.4048333333333334,0.4048333333333334,0.3949999999999999,1
20170926,0.9334375,0.9666875,0.9343125,0.9001250000000001,0.9001250000000001,0.0665625,0.465125,0.346375,0.348,0.2406875,0.2406875,0.534875,1
20171124,0.9445,1.0,0.9666666666666668,0.9445,0.9445,0.0555,0.0,0.0,0.0,0.0,0.0,1.0,1
20170224,1.0,0.6,0.6665,0.6,0.6,0.0,0.714,0.5425,0.609,0.4685,0.4685,0.286,1
20171005,1.0,0.9791666666666666,0.9880833333333332,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,2
20170420,0.92625,1.0,0.947,0.92625,0.92625,0.07375,0.0140625,0.0756875,0.0230625,0.0133125,0.0133125,0.1109375,2
20171107,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20171128,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20170505,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20170606,0.9523333333333334,1.0,0.9721666666666668,0.9523333333333334,0.9523333333333334,0.0476666666666666,0.0473333333333333,0.1533333333333333,0.0723333333333333,0.0461666666666666,0.0461666666666666,0.1193333333333333,2
20170926,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20171124,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20170224,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
20171005,0.9185,0.9791666666666666,0.9258333333333334,0.8976666666666667,0.8976666666666667,0.0815,0.2905,0.2454999999999999,0.2320833333333333,0.1466666666666666,0.1466666666666666,0.6261666666666666,3
20170420,1.0,0.9390625,0.9614375,0.9390625,0.9390625,0.0,0.4049374999999999,0.468875,0.430125,0.316125,0.316125,0.5950625,3
20171107,0.7743333333333333,1.0,0.8101666666666666,0.7743333333333333,0.7743333333333333,0.2256666666666666,0.2494166666666667,0.8354166666666666,0.3684166666666666,0.2375833333333333,0.2375833333333333,0.7505833333333335,3
20171128,1.0,1.0,1.0,1.0,1.0,0.0,0.0025294117647058,0.0294117647058823,0.0047058823529411,0.0024705882352941,0.0024705882352941,0.997470588235294,3
20170505,0.8288461538461538,0.7835384615384615,0.7652307692307693,0.6576923076923078,0.6576923076923078,0.1711538461538461,0.7567692307692307,0.8877692307692308,0.8123076923076922,0.7300769230769231,0.7300769230769231,0.1663076923076923,3
20170606,0.9523333333333334,1.0,0.9721666666666668,0.9523333333333334,0.9523333333333334,0.0476666666666666,0.4498333333333333,0.7596666666666666,0.5403333333333333,0.4271666666666666,0.4271666666666666,0.3834999999999999,3
20170926,1.0,0.9666875,0.9805625,0.9666875,0.9666875,0.0,0.496,0.36175,0.388,0.2771249999999999,0.2771249999999999,0.5040000000000001,3
20171124,0.9666666666666668,1.0,0.9815,0.9666666666666668,0.9666666666666668,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,3
20170224,1.0,0.6,0.6665,0.6,0.6,0.0,0.7304999999999999,0.5555,0.6204999999999999,0.483,0.483,0.2695,3
20171005,0.875,0.9791666666666666,0.90425,0.8541666666666666,0.8541666666666666,0.125,0.1169999999999999,0.1344999999999999,0.1051666666666666,0.0616666666666666,0.0616666666666666,0.4663333333333333,4
20170420,0.9548125,0.9583125,0.940125,0.913125,0.913125,0.0451875,0.351875,0.5019374999999999,0.3989375,0.2775625,0.2775625,0.6481250000000001,4
20171107,0.7715,1.0,0.8158333333333333,0.7715,0.7715,0.2285,0.0886666666666666,0.3615,0.1332499999999999,0.0802499999999999,0.0802499999999999,0.4946666666666667,4
20171128,0.7338823529411765,1.0,0.799235294117647,0.7338823529411765,0.7338823529411765,0.2661176470588235,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,4
20170505,0.8021538461538461,0.9106923076923076,0.8208461538461537,0.7505384615384615,0.7505384615384615,0.1978461538461538,0.4385384615384615,0.5707692307692307,0.4923076923076923,0.4174615384615385,0.4174615384615385,0.1768461538461538,4
20170606,1.0,1.0,1.0,1.0,1.0,0.0,0.2995,0.4708333333333334,0.3641666666666666,0.2915,0.2915,0.2005,4
20170926,0.813375,0.9875,0.8234375,0.800875,0.800875,0.1866249999999999,0.315125,0.3899375,0.3110625,0.2186874999999999,0.2186874999999999,0.497375,4
20171124,0.919,1.0,0.9536666666666668,0.919,0.919,0.081,0.0,0.0,0.0,0.0,0.0,1.0,4
20170224,1.0,0.6,0.6665,0.6,0.6,0.0,0.74,0.626,0.6725,0.5355,0.5355,0.26,4
